Autofocus,Aspherical Elements,Diaphragm Blades,ED Glass Elements,Filter Size,Format,Lens Elements,Lens Groups,Maximum Aperture,Maximum Reproduction Ratio,Minimum Focus Distance,Price,VR,Url,Zoom Ratio,Diameter (In.),Length (In.),Weight (oz.),Min. Focal Length (mm),Max. Focal Length (mm),Focal Length Diff,Max. Aperture (Upper Bound),Max. Aperture (Lower Bound),Min. Aperture (Upper Bound),Min. Aperture (Lower Bound),Max. Aperture Diff,Focal Length Label,Maximum Aperture Label,name,Lens Type,Focal Length Group,Weight (lbs.),Price Range
Yes,,9,3,52,FX,13,9,2,0.12x,6.2,5699.95,Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-200mm-f%252f2g-ed-vr-ii.html,,4.9,8.0,102.4,200,200,0,2.0,2.0,22.0,22.0,0.0,200mm,f/2.0,200mm f/2.0,Prime,Medium Telephoto,6.4,$5 - 10k
Yes,,9,2,62,FX,13,8,4,1.0x,1.6,1794.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-micro-nikkor-200mm-f%252f4d-if-ed.html,,3.0,7.6,41.8,200,200,0,4.0,4.0,32.0,32.0,0.0,200mm,f/4.0,200mm f/4.0,Prime,Medium Telephoto,2.6125,$1 - 2k
Yes,,9,3,52,FX,11,8,2.8,0.16x,"7.5,2.3,7.2,2.2",5499.95,Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-300mm-f2.8g-ed-vr-ii.html,,4.9,10.5,102.3,300,300,0,2.8,2.8,22.0,22.0,0.0,300mm,f/2.8,300mm f/2.8,Prime,Super Telephoto,6.39375,$5 - 10k
Yes,,9,2,77,FX,10,6,4,0.27x,"4.8,1.45",1494.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-300mm-f%252f4d-if-ed.html,,3.5,8.8,50.8,300,300,0,4.0,4.0,32.0,32.0,0.0,300mm,f/4.0,300mm f/4.0,Prime,Super Telephoto,3.175,$1 - 2k
Yes,1,9,1,77,FX,16,10,4,0.24x,"4.6,1.4",1999.95,Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-300mm-f%252f4e-pf-ed-vr.html,,3.5,5.8,26.6,300,300,0,4.0,4.0,32.0,32.0,0.0,300mm,f/4.0,300mm f/4.0,Prime,Super Telephoto,1.6625,$1 - 2k
Yes,,9,2,40.5,FX,16,12,2.8,0.16x,"8.53,2.6",11199.95,Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-400mm-f%252f2.8e-fl-ed-vr.html,,6.3,14.09,134.0,400,400,0,2.8,2.8,22.0,22.0,0.0,400mm,f/2.8,400mm f/2.8,Prime,Super Telephoto,8.375,$10k+
Yes,,9,3,40.5,FX,16,12,4,0.14x,"11.9,3.6",10299.95,Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-500mm-f%252f4e-fl-ed-vr.html,,5.5,15.2,109.0,500,500,0,4.0,4.0,22.0,22.0,0.0,500mm,f/4.0,500mm f/4.0,Prime,Super Telephoto,6.8125,$10k+
Yes,,9,3,95,FX,19,11,5.6,0.18x,9.8 ft. (3.0 m) from focal plane,3599.95,Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-500mm-f%252f5.6e-pf-ed-vr.html,,4.2,9.3,51.2,500,500,0,5.6,5.6,32.0,32.0,0.0,500mm,f/5.6,500mm f/5.6,Prime,Super Telephoto,3.2,$2 - 5k
Yes,,9,4,40.5,FX,16,12,4,0.14x,"14.4,4.4",12299.95,Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-600mm-f%252f4e-fl-ed-vr.html,,6.5,17.0,134.4,600,600,0,4.0,4.0,22.0,22.0,0.0,600mm,f/4.0,600mm f/4.0,Prime,Super Telephoto,8.4,$10k+
Yes,,9,2,52,FX,20,13,5.6,0.151x,"19.36,5.9",16299.95,Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-800mm-f%252f5.6e-fl-ed-vr.html,,6.3,18.2,161.6,800,800,0,5.6,5.6,32.0,32.0,0.0,800mm,f/5.6,800mm f/5.6,Prime,Super Telephoto,10.1,$10k+
